Type, Time
LPH, 10329500
LPH, 8367900
LPH, 8621800
LPH, 8778800
LPH, 8697200
LPH, 8009300
LPH, 8727200
LPH, 8758600
LPH, 8243500
LPH, 8836400
LPH, 7206900
LPH, 6840400
LPH, 6797000
LPH, 6911700
LPH, 6672200
LPH, 9490400
LPH, 6948800
LPH, 8053700
LPH, 6982800
LPH, 6808000
